pays,geo_code,annee,type_energie,siec_code,siec_label,valeur,unite,unite_label
Croatie,HR,2023,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,637.7,THS_T,Thousand tonnes
Croatie,HR,2023,Gaz naturel,G3000,Natural gas,117935.5,TJ_GCV,Terajoule (gross calorific value - GCV)
Croatie,HR,2023,Pétrole brut,O4100_TOT,Crude oil,1354.8,THS_T,Thousand tonnes
Croatie,HR,2023,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),4866.9,THS_T,Thousand tonnes
Danemark,DK,2019,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,2396.234,THS_T,Thousand tonnes
Danemark,DK,2019,Gaz naturel,G3000,Natural gas,46506.113,TJ_GCV,Terajoule (gross calorific value - GCV)
Danemark,DK,2019,Pétrole brut,O4100_TOT,Crude oil,5037.16,THS_T,Thousand tonnes
Danemark,DK,2019,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),12247.675,THS_T,Thousand tonnes
Danemark,DK,2020,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,1122.166,THS_T,Thousand tonnes
Danemark,DK,2020,Gaz naturel,G3000,Natural gas,103034.296,TJ_GCV,Terajoule (gross calorific value - GCV)
Danemark,DK,2020,Pétrole brut,O4100_TOT,Crude oil,4668.226,THS_T,Thousand tonnes
Danemark,DK,2020,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),11653.338,THS_T,Thousand tonnes
Danemark,DK,2021,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,785.909,THS_T,Thousand tonnes
Danemark,DK,2021,Gaz naturel,G3000,Natural gas,96488.788,TJ_GCV,Terajoule (gross calorific value - GCV)
Danemark,DK,2021,Pétrole brut,O4100_TOT,Crude oil,5184.4,THS_T,Thousand tonnes
Danemark,DK,2021,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),9921.399,THS_T,Thousand tonnes
Danemark,DK,2022,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,1883.339,THS_T,Thousand tonnes
Danemark,DK,2022,Gaz naturel,G3000,Natural gas,107061.839,TJ_GCV,Terajoule (gross calorific value - GCV)
Danemark,DK,2022,Pétrole brut,O4100_TOT,Crude oil,4457.624,THS_T,Thousand tonnes
Danemark,DK,2022,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),10345.957,THS_T,Thousand tonnes
Danemark,DK,2023,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,1296.4,THS_T,Thousand tonnes
Danemark,DK,2023,Gaz naturel,G3000,Natural gas,343487.284,TJ_GCV,Terajoule (gross calorific value - GCV)
Danemark,DK,2023,Pétrole brut,O4100_TOT,Crude oil,4726.181,THS_T,Thousand tonnes
Danemark,DK,2023,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),9953.698,THS_T,Thousand tonnes
Espagne,ES,2019,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,9427.0,THS_T,Thousand tonnes
Espagne,ES,2019,Gaz naturel,G3000,Natural gas,1506011.0,TJ_GCV,Terajoule (gross calorific value - GCV)
Espagne,ES,2019,Pétrole brut,O4100_TOT,Crude oil,66303.0,THS_T,Thousand tonnes
Espagne,ES,2019,Pétrole et produits pétroliers,O4000XBIO,Oil and petroleum products (excluding biofuel portion),87488.0,THS_T,Thousand tonnes
Espagne,ES,2020,Combustibles fossiles solides (charbon),C0000X0350-0370,Solid fossil fuels,4856.0,THS_T,Thousand tonnes
